size,tag,strategy,proportion
10,1,selfish,0.38888246
10,1,selfish,0.29507187
10,1,selfish,0.20800535
10,1,selfish,0.2647948
10,1,selfish,0.15414709
10,1,selfish,0.54684496
10,1,selfish,0.22149296
10,1,selfish,0.24419385
10,1,selfish,0.39542243
10,1,selfish,0.17063979999999998
10,2,selfish,0.33565003
10,2,selfish,0.21158224
10,2,selfish,0.18811806
10,2,selfish,0.14068814
10,2,selfish,0.28148952
10,2,selfish,0.20992573
10,2,selfish,0.20648335
10,2,selfish,0.34401643
10,2,selfish,0.36773762
10,2,selfish,0.14034776
10,4,selfish,0.2771114
10,4,selfish,0.22654633
10,4,selfish,0.28926405
10,4,selfish,0.16186966
10,4,selfish,0.1816039
10,4,selfish,0.2767412
10,4,selfish,0.37026352
10,4,selfish,0.40534590000000004
10,4,selfish,0.29316524
10,4,selfish,0.11908772599999999
10,8,selfish,0.2771114
10,8,selfish,0.22654633
10,8,selfish,0.28926405
10,8,selfish,0.16186966
10,8,selfish,0.1816039
10,8,selfish,0.2767412
10,8,selfish,0.37026352
10,8,selfish,0.40534590000000004
10,8,selfish,0.29316524
10,8,selfish,0.11908772599999999
10,10000,selfish,0.2527286
10,10000,selfish,0.5105455
10,10000,selfish,0.09712864
10,10000,selfish,0.22752087
10,10000,selfish,0.17859897
10,10000,selfish,0.13190247
10,10000,selfish,0.31752443
10,10000,selfish,0.28897685
10,10000,selfish,0.08445907400000001
10,10000,selfish,0.22953792
10,1,traitor,0.24650145
10,1,traitor,0.26225490000000007
10,1,traitor,0.23398925
10,1,traitor,0.17319973
10,1,traitor,0.27314612
10,1,traitor,0.16560961
10,1,traitor,0.48774922
10,1,traitor,0.28924572
10,1,traitor,0.34975582
10,1,traitor,0.2853412
10,2,traitor,0.24101993
10,2,traitor,0.21796852
10,2,traitor,0.09882344
10,2,traitor,0.22776659
10,2,traitor,0.2287924
10,2,traitor,0.26479159999999996
10,2,traitor,0.14307784
10,2,traitor,0.25168514
10,2,traitor,0.13688767
10,2,traitor,0.38368052
10,4,traitor,0.09157239
10,4,traitor,0.13988514
10,4,traitor,0.175576
10,4,traitor,0.074531995
10,4,traitor,0.17575932
10,4,traitor,0.15367308
10,4,traitor,0.21558052
10,4,traitor,0.13536672
10,4,traitor,0.13396458
10,4,traitor,0.13694005
10,8,traitor,0.09157239
10,8,traitor,0.13988514
10,8,traitor,0.175576
10,8,traitor,0.074531995
10,8,traitor,0.17575932
10,8,traitor,0.15367308
10,8,traitor,0.21558052
10,8,traitor,0.13536672
10,8,traitor,0.13396458
10,8,traitor,0.13694005
10,10000,traitor,0.40780276
10,10000,traitor,0.11831835
10,10000,traitor,0.21231268
10,10000,traitor,0.15680501
10,10000,traitor,0.26878968
10,10000,traitor,0.47820744
10,10000,traitor,0.21305323
10,10000,traitor,0.17301339
10,10000,traitor,0.39448735
10,10000,traitor,0.38427207
10,1,ethnocentric,0.18875267
10,1,ethnocentric,0.32328978
10,1,ethnocentric,0.34319344
10,1,ethnocentric,0.30341166
10,1,ethnocentric,0.36760738
10,1,ethnocentric,0.17167209
10,1,ethnocentric,0.07438211
10,1,ethnocentric,0.22692814
10,1,ethnocentric,0.09516811
10,1,ethnocentric,0.35030659999999997
10,2,ethnocentric,0.28534865
10,2,ethnocentric,0.357569
10,2,ethnocentric,0.4798501
10,2,ethnocentric,0.31594238
10,2,ethnocentric,0.30332422
10,2,ethnocentric,0.20907173
10,2,ethnocentric,0.3971958
10,2,ethnocentric,0.24725954
10,2,ethnocentric,0.21144082
10,2,ethnocentric,0.39207286
10,4,ethnocentric,0.44948086
10,4,ethnocentric,0.52128214
10,4,ethnocentric,0.38680038
10,4,ethnocentric,0.53779364
10,4,ethnocentric,0.36803585
10,4,ethnocentric,0.32316604
10,4,ethnocentric,0.21962847
10,4,ethnocentric,0.21929525
10,4,ethnocentric,0.29250446
10,4,ethnocentric,0.62092465
10,8,ethnocentric,0.44948086
10,8,ethnocentric,0.52128214
10,8,ethnocentric,0.38680038
10,8,ethnocentric,0.53779364
10,8,ethnocentric,0.36803585
10,8,ethnocentric,0.32316604
10,8,ethnocentric,0.21962847
10,8,ethnocentric,0.21929525
10,8,ethnocentric,0.29250446
10,8,ethnocentric,0.62092465
10,10000,ethnocentric,0.15667910000000002
10,10000,ethnocentric,0.18100968
10,10000,ethnocentric,0.36320853
10,10000,ethnocentric,0.28513324
10,10000,ethnocentric,0.1223374
10,10000,ethnocentric,0.24022220000000002
10,10000,ethnocentric,0.12890705
10,10000,ethnocentric,0.29198903
10,10000,ethnocentric,0.24926992
10,10000,ethnocentric,0.19898216
10,1,humanitarian,0.17586334
10,1,humanitarian,0.119383335
10,1,humanitarian,0.21481195
10,1,humanitarian,0.2585938
10,1,humanitarian,0.20509943
10,1,humanitarian,0.11587334
10,1,humanitarian,0.21637584
10,1,humanitarian,0.23963220000000002
10,1,humanitarian,0.15965368
10,1,humanitarian,0.19371237
10,2,humanitarian,0.1379815
10,2,humanitarian,0.21288020000000002
10,2,humanitarian,0.23320839
10,2,humanitarian,0.31560302
10,2,humanitarian,0.18639370000000002
10,2,humanitarian,0.316211
10,2,humanitarian,0.25324294
10,2,humanitarian,0.15703882
10,2,humanitarian,0.28393382
10,2,humanitarian,0.083898745
10,4,humanitarian,0.18183535
10,4,humanitarian,0.11228645599999999
10,4,humanitarian,0.14835949
10,4,humanitarian,0.22580466
10,4,humanitarian,0.27460116
10,4,humanitarian,0.24641970000000002
10,4,humanitarian,0.19452764
10,4,humanitarian,0.23999216
10,4,humanitarian,0.28036568
10,4,humanitarian,0.123047665
10,8,humanitarian,0.18183535
10,8,humanitarian,0.11228645599999999
10,8,humanitarian,0.14835949
10,8,humanitarian,0.22580466
10,8,humanitarian,0.27460116
10,8,humanitarian,0.24641970000000002
10,8,humanitarian,0.19452764
10,8,humanitarian,0.23999216
10,8,humanitarian,0.28036568
10,8,humanitarian,0.123047665
10,10000,humanitarian,0.1827895
10,10000,humanitarian,0.1901266
10,10000,humanitarian,0.32735008
10,10000,humanitarian,0.330541
10,10000,humanitarian,0.43027404
10,10000,humanitarian,0.14966801
10,10000,humanitarian,0.34051529999999997
10,10000,humanitarian,0.24602075
10,10000,humanitarian,0.27178386
10,10000,humanitarian,0.18720777
50,1,selfish,0.060561332999999995
50,1,selfish,0.082930826
50,1,selfish,0.07456636
50,1,selfish,0.09325645
50,1,selfish,0.10353234
50,1,selfish,0.09341472
50,1,selfish,0.092619486
50,1,selfish,0.077992804
50,1,selfish,0.14438315
50,1,selfish,0.10334893
50,2,selfish,0.10205299400000001
50,2,selfish,0.058611773
50,2,selfish,0.09311518
50,2,selfish,0.0879041
50,2,selfish,0.10605852
50,2,selfish,0.09621039
50,2,selfish,0.078873165
50,2,selfish,0.067068316
50,2,selfish,0.10976157
50,2,selfish,0.076208636
50,4,selfish,0.07710419
50,4,selfish,0.049201727
50,4,selfish,0.07720965
50,4,selfish,0.07233897
50,4,selfish,0.06514092
50,4,selfish,0.08378183
50,4,selfish,0.08681178
50,4,selfish,0.060120083
50,4,selfish,0.05975692
50,4,selfish,0.10193029
50,8,selfish,0.07251354
50,8,selfish,0.07488948
50,8,selfish,0.090863705
50,8,selfish,0.06453241400000001
50,8,selfish,0.0749864
50,8,selfish,0.061589174000000003
50,8,selfish,0.09938667
50,8,selfish,0.08901442
50,8,selfish,0.06135776
50,8,selfish,0.07712823
50,10000,selfish,0.11044236
50,10000,selfish,0.10613642
50,10000,selfish,0.09741242
50,10000,selfish,0.10597693
50,10000,selfish,0.11170966
50,10000,selfish,0.123384714
50,10000,selfish,0.12675935
50,10000,selfish,0.089740425
50,10000,selfish,0.07332557
50,10000,selfish,0.10062501
50,1,traitor,0.09890018
50,1,traitor,0.062018957
50,1,traitor,0.10336838
50,1,traitor,0.07693746
50,1,traitor,0.10282574
50,1,traitor,0.10600582
50,1,traitor,0.08221609
50,1,traitor,0.10320623
50,1,traitor,0.07892725
50,1,traitor,0.071018994
50,2,traitor,0.035501204
50,2,traitor,0.039643705
50,2,traitor,0.04726307
50,2,traitor,0.045371044000000006
50,2,traitor,0.033162
50,2,traitor,0.026158545
50,2,traitor,0.06940189999999999
50,2,traitor,0.056797195
50,2,traitor,0.03573192
50,2,traitor,0.051424593
50,4,traitor,0.026634105
50,4,traitor,0.033009022
50,4,traitor,0.041616254
50,4,traitor,0.011532694
50,4,traitor,0.026479302000000003
50,4,traitor,0.026500704
50,4,traitor,0.045086447
50,4,traitor,0.010499442
50,4,traitor,0.025275817000000003
50,4,traitor,0.017828945
50,8,traitor,0.019500632
50,8,traitor,0.017268607
50,8,traitor,0.029096142999999998
50,8,traitor,0.022843756
50,8,traitor,0.029214729
50,8,traitor,0.026325276
50,8,traitor,0.02008227
50,8,traitor,0.018714816999999998
50,8,traitor,0.014528098500000001
50,8,traitor,0.014397068
50,10000,traitor,0.41631229999999997
50,10000,traitor,0.43188995
50,10000,traitor,0.44345286
