size,tag,strategy,proportion
10,1,selfish,0.38888246
10,1,selfish,0.29507187
10,1,selfish,0.20800535
10,1,selfish,0.2647948
10,1,selfish,0.15414709
10,1,selfish,0.54684496
10,1,selfish,0.22149296
10,1,selfish,0.24419385
10,1,selfish,0.39542243
10,1,selfish,0.17063979999999998
10,2,selfish,0.33565003
10,2,selfish,0.21158224
10,2,selfish,0.18811806
10,2,selfish,0.14068814
10,2,selfish,0.28148952
10,2,selfish,0.20992573
10,2,selfish,0.20648335
10,2,selfish,0.34401643
10,2,selfish,0.36773762
10,2,selfish,0.14034776
10,4,selfish,0.2771114
10,4,selfish,0.22654633
10,4,selfish,0.28926405
10,4,selfish,0.16186966
10,4,selfish,0.1816039
10,4,selfish,0.2767412
10,4,selfish,0.37026352
10,4,selfish,0.40534590000000004
10,4,selfish,0.29316524
10,4,selfish,0.11908772599999999
10,8,selfish,0.2771114
10,8,selfish,0.22654633
10,8,selfish,0.28926405
10,8,selfish,0.16186966
10,8,selfish,0.1816039
10,8,selfish,0.2767412
10,8,selfish,0.37026352
10,8,selfish,0.40534590000000004
10,8,selfish,0.29316524
10,8,selfish,0.11908772599999999
10,1000,selfish,0.23391014
10,1000,selfish,0.21595299
10,1000,selfish,0.2428687
10,1000,selfish,0.12766798
10,1000,selfish,0.25835034
10,1000,selfish,0.2118437
10,1000,selfish,0.19387135
10,1000,selfish,0.14256434
10,1000,selfish,0.16625410000000002
10,1000,selfish,0.18353395
10,1,traitor,0.24650145
10,1,traitor,0.26225490000000007
10,1,traitor,0.23398925
10,1,traitor,0.17319973
10,1,traitor,0.27314612
10,1,traitor,0.16560961
10,1,traitor,0.48774922
10,1,traitor,0.28924572
10,1,traitor,0.34975582
10,1,traitor,0.2853412
10,2,traitor,0.24101993
10,2,traitor,0.21796852
10,2,traitor,0.09882344
10,2,traitor,0.22776659
10,2,traitor,0.2287924
10,2,traitor,0.26479159999999996
10,2,traitor,0.14307784
10,2,traitor,0.25168514
10,2,traitor,0.13688767
10,2,traitor,0.38368052
10,4,traitor,0.09157239
10,4,traitor,0.13988514
10,4,traitor,0.175576
10,4,traitor,0.074531995
10,4,traitor,0.17575932
10,4,traitor,0.15367308
10,4,traitor,0.21558052
10,4,traitor,0.13536672
10,4,traitor,0.13396458
10,4,traitor,0.13694005
10,8,traitor,0.09157239
10,8,traitor,0.13988514
10,8,traitor,0.175576
10,8,traitor,0.074531995
10,8,traitor,0.17575932
10,8,traitor,0.15367308
10,8,traitor,0.21558052
10,8,traitor,0.13536672
10,8,traitor,0.13396458
10,8,traitor,0.13694005
10,1000,traitor,0.24511468
10,1000,traitor,0.25111794
10,1000,traitor,0.25463104
10,1000,traitor,0.3469816
10,1000,traitor,0.23093864
10,1000,traitor,0.28610563
10,1000,traitor,0.26676196
10,1000,traitor,0.33554336
10,1000,traitor,0.32810783
10,1000,traitor,0.29395142
10,1,ethnocentric,0.18875267
10,1,ethnocentric,0.32328978
10,1,ethnocentric,0.34319344
10,1,ethnocentric,0.30341166
10,1,ethnocentric,0.36760738
10,1,ethnocentric,0.17167209
10,1,ethnocentric,0.07438211
10,1,ethnocentric,0.22692814
10,1,ethnocentric,0.09516811
10,1,ethnocentric,0.35030659999999997
10,2,ethnocentric,0.28534865
10,2,ethnocentric,0.357569
10,2,ethnocentric,0.4798501
10,2,ethnocentric,0.31594238
10,2,ethnocentric,0.30332422
10,2,ethnocentric,0.20907173
10,2,ethnocentric,0.3971958
10,2,ethnocentric,0.24725954
10,2,ethnocentric,0.21144082
10,2,ethnocentric,0.39207286
10,4,ethnocentric,0.44948086
10,4,ethnocentric,0.52128214
10,4,ethnocentric,0.38680038
10,4,ethnocentric,0.53779364
10,4,ethnocentric,0.36803585
10,4,ethnocentric,0.32316604
10,4,ethnocentric,0.21962847
10,4,ethnocentric,0.21929525
10,4,ethnocentric,0.29250446
10,4,ethnocentric,0.62092465
10,8,ethnocentric,0.44948086
10,8,ethnocentric,0.52128214
10,8,ethnocentric,0.38680038
10,8,ethnocentric,0.53779364
10,8,ethnocentric,0.36803585
10,8,ethnocentric,0.32316604
10,8,ethnocentric,0.21962847
10,8,ethnocentric,0.21929525
10,8,ethnocentric,0.29250446
10,8,ethnocentric,0.62092465
10,1000,ethnocentric,0.25952600000000003
10,1000,ethnocentric,0.25294924
10,1000,ethnocentric,0.26365873
10,1000,ethnocentric,0.39677194
10,1000,ethnocentric,0.23188981
10,1000,ethnocentric,0.28647223
10,1000,ethnocentric,0.29370397
10,1000,ethnocentric,0.36265287
10,1000,ethnocentric,0.336528
10,1000,ethnocentric,0.31984264
10,1,humanitarian,0.17586334
10,1,humanitarian,0.119383335
10,1,humanitarian,0.21481195
10,1,humanitarian,0.2585938
10,1,humanitarian,0.20509943
10,1,humanitarian,0.11587334
10,1,humanitarian,0.21637584
10,1,humanitarian,0.23963220000000002
10,1,humanitarian,0.15965368
10,1,humanitarian,0.19371237
10,2,humanitarian,0.1379815
10,2,humanitarian,0.21288020000000002
10,2,humanitarian,0.23320839
10,2,humanitarian,0.31560302
10,2,humanitarian,0.18639370000000002
10,2,humanitarian,0.316211
10,2,humanitarian,0.25324294
10,2,humanitarian,0.15703882
10,2,humanitarian,0.28393382
10,2,humanitarian,0.083898745
10,4,humanitarian,0.18183535
10,4,humanitarian,0.11228645599999999
10,4,humanitarian,0.14835949
10,4,humanitarian,0.22580466
10,4,humanitarian,0.27460116
10,4,humanitarian,0.24641970000000002
10,4,humanitarian,0.19452764
10,4,humanitarian,0.23999216
10,4,humanitarian,0.28036568
10,4,humanitarian,0.123047665
10,8,humanitarian,0.18183535
10,8,humanitarian,0.11228645599999999
10,8,humanitarian,0.14835949
10,8,humanitarian,0.22580466
10,8,humanitarian,0.27460116
10,8,humanitarian,0.24641970000000002
10,8,humanitarian,0.19452764
10,8,humanitarian,0.23999216
10,8,humanitarian,0.28036568
10,8,humanitarian,0.123047665
10,1000,humanitarian,0.26144922
10,1000,humanitarian,0.2799798
10,1000,humanitarian,0.23884155
10,1000,humanitarian,0.12857829
10,1000,humanitarian,0.2788213
10,1000,humanitarian,0.21557851
10,1000,humanitarian,0.24566264
10,1000,humanitarian,0.15923929
10,1000,humanitarian,0.16911004
10,1000,humanitarian,0.20267196
50,1,selfish,0.018041923999999997
50,1,selfish,0.034157876000000004
50,1,selfish,0.029144397000000002
50,1,selfish,0.04866679
50,1,selfish,0.056186892
50,1,selfish,0.05811584400000001
50,1,selfish,0.018140638
50,1,selfish,0.036204945
50,1,selfish,0.036832403
50,1,selfish,0.03404233
50,2,selfish,0.10205299400000001
50,2,selfish,0.058611773
50,2,selfish,0.09311518
50,2,selfish,0.0879041
50,2,selfish,0.10605852
50,2,selfish,0.09621039
50,2,selfish,0.078873165
50,2,selfish,0.067068316
50,2,selfish,0.10976157
50,2,selfish,0.076208636
50,4,selfish,0.07710419
50,4,selfish,0.049201727
50,4,selfish,0.07720965
50,4,selfish,0.07233897
50,4,selfish,0.06514092
50,4,selfish,0.08378183
50,4,selfish,0.08681178
50,4,selfish,0.060120083
50,4,selfish,0.05975692
50,4,selfish,0.10193029
50,8,selfish,0.07251354
50,8,selfish,0.07488948
50,8,selfish,0.090863705
50,8,selfish,0.06453241400000001
50,8,selfish,0.0749864
50,8,selfish,0.061589174000000003
50,8,selfish,0.09938667
50,8,selfish,0.08901442
50,8,selfish,0.06135776
50,8,selfish,0.07712823
50,1000,selfish,0.19986461
50,1000,selfish,0.119553745
50,1000,selfish,0.20292889
50,1000,selfish,0.13289745
50,1000,selfish,0.19602013
50,1000,selfish,0.19073568
50,1000,selfish,0.2767152
50,1000,selfish,0.21237366
50,1000,selfish,0.23630461
50,1000,selfish,0.16624697
50,1,traitor,0.038672384
50,1,traitor,0.028202302999999998
50,1,traitor,0.055579063
50,1,traitor,0.06834954
50,1,traitor,0.058517672
50,1,traitor,0.046871699999999995
50,1,traitor,0.08873126
50,1,traitor,0.026764844
50,1,traitor,0.043944
50,1,traitor,0.049638342
50,2,traitor,0.035501204
50,2,traitor,0.039643705
50,2,traitor,0.04726307
50,2,traitor,0.045371044000000006
50,2,traitor,0.033162
50,2,traitor,0.026158545
50,2,traitor,0.06940189999999999
50,2,traitor,0.056797195
50,2,traitor,0.03573192
50,2,traitor,0.051424593
50,4,traitor,0.026634105
50,4,traitor,0.033009022
50,4,traitor,0.041616254
50,4,traitor,0.011532694
50,4,traitor,0.026479302000000003
50,4,traitor,0.026500704
50,4,traitor,0.045086447
50,4,traitor,0.010499442
50,4,traitor,0.025275817000000003
50,4,traitor,0.017828945
50,8,traitor,0.019500632
50,8,traitor,0.017268607
50,8,traitor,0.029096142999999998
50,8,traitor,0.022843756
50,8,traitor,0.029214729
50,8,traitor,0.026325276
50,8,traitor,0.02008227
50,8,traitor,0.018714816999999998
50,8,traitor,0.014528098500000001
50,8,traitor,0.014397068
50,1000,traitor,0.2588738
50,1000,traitor,0.33918753
